generation,population_size,valid_count,invalid_count,mean_reward_valid,max_reward_valid,min_param_count_valid,max_param_count_valid
0,32,17,15,650.601034,1105.331696,11085.0,54605.0
1,33,25,8,655.361107,1218.905513,11085.0,142605.0
2,49,36,13,621.167112,1218.905513,1389.0,142605.0
3,72,40,32,604.626768,1218.905513,1389.0,142605.0
4,72,53,19,587.929128,1218.905513,1389.0,142605.0
5,66,49,17,656.73053,1218.905513,1389.0,142605.0
6,73,54,19,741.259375,2154.494208,1389.0,142605.0
7,74,51,23,786.273817,2154.494208,1389.0,142605.0
8,72,48,24,813.415122,2154.494208,1389.0,142605.0
9,71,53,18,784.545703,2154.494208,1389.0,142605.0
10,70,52,18,790.73101,2154.494208,1389.0,547341.0
11,72,51,21,799.124664,2154.494208,1389.0,142605.0
12,70,51,19,812.1354,2154.494208,1389.0,142605.0
13,74,53,21,786.574389,2154.494208,1389.0,142605.0
14,71,54,17,755.698957,2154.494208,1389.0,547341.0
15,72,61,11,763.525052,2154.494208,1389.0,177229.0
16,73,48,25,785.67423,2154.494208,1389.0,177229.0
17,69,52,17,748.354939,2154.494208,1389.0,177229.0
